#do_sensitivity.py --input_csv sensitivity_info --bias .03 --output_dir sensitivity_output --covariate_dir ./covariates/
alpha,delta,Rsq
0.24159999999999998,0.0001640838883988259,0.08153659099943206
0.24209999999999998,0.00016363705787821717,0.08153659067450286
0.24259999999999998,0.000163192069198172,0.08153659035148653
0.24309999999999998,0.00016274891099398022,0.08153659003036749
0.24359999999999998,0.00016230757199423937,0.08153658971113173
0.24409999999999998,0.00016186804101989694,0.08153658939376453
0.24459999999999998,0.0001614303069833069,0.08153658907825118
0.24509999999999998,0.00016099435888729916,0.08153658876457841
0.24559999999999998,0.00016056018582425553,0.0815365884527315
0.24609999999999999,0.00016012777697520198,0.08153658814269636
0.24659999999999999,0.00015969712160891037,0.08153658783445968
0.2471,0.0001592682090810094,0.08153658752800776
0.2476,0.00015884102883310795,0.08153658722332689
0.2481,0.00015841557039192924,0.08153658692040384
0.2486,0.00015799182336845413,0.08153658661922497
0.2491,0.00015756977745707697,0.08153658631977788
0.2496,0.00015714942243476732,0.08153658602204862
0.2501,0.00015673074816024803,0.08153658572602498
0.2506,0.00015631374457317692,0.08153658543169391
0.2511,0.0001558984016933423,0.08153658513904292
0.2516,0.00015548470961986615,0.08153658484805916
0.2521,0.0001550726585304182,0.08153658455873056
0.2526,0.00015466223868043768,0.08153658427104478
0.2531,0.00015425344040236513,0.08153658398498922
0.2536,0.00015384625410488456,0.08153658370055233
0.2541,0.00015344067027217155,0.08153658341772173
0.2546,0.00015303667946315358,0.08153658313648597
0.2551,0.00015263427231077627,0.08153658285683314
0.2556,0.0001522334395212798,0.08153658257875143
0.2561,0.00015183417187348395,0.08153658230222961
0.2566,0.00015143646021808005,0.08153658202725607
0.2571,0.00015104029547693303,0.08153658175381956
0.2576,0.00015064566864238962,0.08153658148190872
0.2581,0.000150252570776597,0.08153658121151257
0.2586,0.00014986099301082676,0.08153658094262017
0.2591,0.00014947092654480834,0.08153658067522017
0.2596,0.0001490823626460707,0.08153658040930241
0.2601,0.00014869529264928898,0.08153658014485585
0.2606,0.0001483097079556415,0.08153657988186999
0.2611,0.00014792560003217258,0.08153657962033409
0.2616,0.0001475429604111636,0.08153657936023805
0.2621,0.00014716178068950977,0.08153657910157125
0.2626,0.0001467820525281058,0.08153657884432346
0.2631,0.0001464037676512379,0.08153657858848472
0.2636,0.00014602691784598165,0.08153657833404475
0.2641,0.00014565149496160895,0.0815365780809941
0.2646,0.00014527749090899843,0.08153657782932207
0.2651,0.00014490489766005705,0.08153657757901969
0.2656,0.00014453370724714309,0.08153657733007666
0.2661,0.00014416391176250032,0.08153657708248371
0.2666,0.00014379550335769472,0.08153657683623103
0.2671,0.00014342847424306091,0.08153657659130972
0.2676,0.00014306281668715126,0.08153657634770975
0.2681,0.00014269852301619429,0.08153657610542174
0.2686,0.0001423355856135585,0.0815365758644374
0.2691,0.00014197399691921937,0.081536575624747
0.2696,0.00014161374942923608,0.08153657538634161
0.2701,0.00014125483569523196,0.08153657514921218
0.2706,0.0001408972483238813,0.0815365749133501
0.2711,0.00014054097997640109,0.08153657467874596
0.2716,0.0001401860233680502,0.08153657444539164
0.2721,0.00013983237126763152,0.08153657421327837
0.2726,0.00013948001649700175,0.08153657398239765
0.2731,0.00013912895193058492,0.08153657375274044
